isbn;book_title;book_author;year_of_publication;publisher;img_l;Language;Category
0440234743;The Testament;John Grisham;1999.0;Dell;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;en;['Fiction']
0452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994.0;Plume;http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg;en;['Fiction']
0971880107;Wild Animus;Rich Shapero;2004.0;Too Far;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg;en;['Fiction']
0345402871;Airframe;Michael Crichton;1997.0;Ballantine Books;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;en;['Fiction']
0345417623;Timeline;MICHAEL CRICHTON;2000.0;Ballantine Books;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;en;['Fiction']
0312978383;Winter Solstice;Rosamunde Pilcher;2001.0;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312978383.01.LZZZZZZZ.jpg;9;9
0446310786;To Kill a Mockingbird;Harper Lee;1988.0;Little Brown & Company;http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg;en;['Fiction']
0449005615;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002.0;Ballantine Books;http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg;en;['History']
0671888587;I'll Be Seeing You;Mary Higgins Clark;1994.0;Pocket;http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg;en;['Fiction']
0553582747;From the Corner of His Eye;Dean Koontz;2001.0;Bantam Books;http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg;en;['Fiction']
0425182908;Isle of Dogs;Patricia Cornwell;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg;en;['Fiction']
042518630X;Purity in Death;J.D. Robb;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg;en;['Fiction']
0842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000.0;Tyndale House Publishers;http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg;en;['FICTION']
0440225701;The Street Lawyer;JOHN GRISHAM;1999.0;Dell;http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg;en;['Fiction']
042511774X;Breathing Lessons;Anne Tyler;1994.0;Berkley Publishing Group;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg;9;9
0804106304;The Joy Luck Club;Amy Tan;1994.0;Prentice Hall (K-12);http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg;9;9
0140067477;The Tao of Pooh;Benjamin Hoff;1983.0;Penguin Books;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg;en;['Humor']
0345465083;Seabiscuit;LAURA HILLENBRAND;2003.0;Ballantine Books;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg;en;['History']
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991.0;Thomas Nelson;http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg;en;['Conduct of life']
0316769487;The Catcher in the Rye;J.D. Salinger;1991.0;Little, Brown;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg;en;['Fiction']
0679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994.0;Random House;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg;en;['History']
