user_id;age;city;state;country
9419;34.74389988072476;somewhere;texas;usa
12923;39.0;louisville;kentucky;usa
20783;34.74389988072476;york;pennsylvania;usa
55419;34.74389988072476;cassville;missouri;usa
62667;53.0;warsaw;virginia;usa
64605;34.74389988072476;san ramon;california;usa
72912;34.74389988072476;defuniak;florida;usa
78754;34.74389988072476;dwight;illinois;usa
82114;34.74389988072476;fair oaks;california;usa
93055;34.74389988072476;st. charles;missouri;usa
94074;23.0;zevenaar;gelderland;netherlands
94139;34.74389988072476;san marcos;california;usa
105624;35.0;royersford;pennsylvania;usa
107201;38.0;troy;michigan;usa
108247;34.74389988072476;winterville;north carolina;usa
116127;34.74389988072476;vancouver;washington;usa
119332;34.74389988072476;berlin;berlin;germany
123137;34.74389988072476;decatur;georgia;usa
128463;34.74389988072476;jersey city;new jersey;usa
131681;48.0;muskegon;michigan;usa
132144;34.74389988072476;seattle;washington;usa
136707;50.0;laplace;louisiana;usa
146816;34.74389988072476;minneapolis;minnesota;usa
150400;34.74389988072476;sacramento;california;usa
165842;34.74389988072476;doylestown;pennsylvania;usa
170580;34.74389988072476;carlsbad;california;usa
187533;68.0;san jose;san jose;costa rica
187944;41.0;hopatcong;new jersey;usa
192621;34.74389988072476;olympia;washington;usa
246550;38.0;fort irwin;california;usa
249954;34.74389988072476;pueblo;colorado;usa
261378;34.74389988072476;omaha;nebraska;usa
5555;34.74389988072476;perigny;poitou-charentes;france
6026;34.74389988072476;bangor;maine;usa
27624;54.0;london;england;united kingdom
35904;24.0;roanoke;virginia;usa
36197;44.0;topeka;kansas;usa
60609;34.74389988072476;lavergne;tennessee;usa
68080;43.0;manchester;,;
73801;34.74389988072476;hemet;;usa
86219;26.0;ludwigshafen;rheinland-pfalz;germany
89856;31.0;seattle;washington;usa
113117;34.74389988072476;marina del rey;california;usa
117041;34.74389988072476;mesa;arizona;usa
132230;58.0;pittsburgh;pennsylvania;usa
134541;39.0;richmond;virginia;usa
169862;34.74389988072476;monmouth;oregon;usa
218421;32.0;dawson creek;british columbia;canada
237436;34.74389988072476;idaho falls;idaho;usa
240353;45.0;houston;texas;usa
241579;34.74389988072476;orono;maine;usa
244643;34.74389988072476;santa rosa;california;usa
255799;28.0;lafayette;louisiana;usa
258747;45.0;long beach;california;usa
269688;34.74389988072476;chicago;illinois;usa
14;34.74389988072476;mediapolis;iowa;usa
193;23.0;mumbai;maharashtra;india
569;28.0;lahore;punjab;pakistan
626;41.0;graz;steiermark;austria
899;23.0;bielefeld;nordrhein-westfalen;germany
970;15.0;sydney;new south wales;australia
1486;75.0;montmorency;victoria;australia
1863;43.0;feucht;bayern;germany
2411;37.0;lake city;florida;usa
2830;13.0;adelaide;south australia;australia
3032;40.0;sydney;new south wales;australia
4243;52.0;wheelers hill;victoria;australia
4784;21.0;arvada;colorado;usa
5264;34.74389988072476;hannover;niedersachsen;germany
5471;60.0;barcelona;catalunya;spain
5581;22.0;newtown;new south wales;australia
5604;48.0;hattenhofen;bayern;germany
5916;31.0;vermont;victoria;australia
7515;45.0;canberra;australian capital territory;australia
8361;23.0;melbourne;victoria;australia
8453;47.0;berkeley;california;usa
8674;29.0;singapore;;singapore
9080;20.0;campinas;sao paulo;brazil
9260;34.0;hannover;niedersachsen;germany
9414;37.0;ipswich;suffolk;united kingdom
9642;14.0;forster-tuncurry;new south wales;australia
9979;34.74389988072476;brampton;ontario;canada
10494;25.0;phoenix;arizona;usa
10532;29.0;shipley;west yorkshire;united kingdom
10649;27.0;buenos aires;buenos aires;argentina
10730;26.0;los angeles;california;usa
11554;35.0;houston;texas;usa
11768;14.0;jalandhar cantt;punjab;india
11808;52.0;città di castello;umbria;italy
12189;24.0;ourense;galicia;spain
12264;39.0;kuna;idaho;usa
13088;14.0;piacenza;emilia romagna;italy
13479;31.0;rotterdam;zuid holland;netherlands
13891;58.0;ashtabula;ohio;usa
14203;76.0;lake munmorah;new south wales;australia
14288;52.0;oakland;maine;usa
14336;28.0;manchester;new hampshire;usa
15053;34.74389988072476;bonn;nordrhein-westfalen;germany
15439;38.0;winter park;florida;usa
15982;33.0;atlanta;georgia;usa
16086;39.0;isle of wight;england;united kingdom
16151;39.0;hobart;tasmania;australia
17890;17.0;wisconsin rapids;wisconsin;usa
18039;56.0;southfield;michigan;usa
18097;27.0;kiel;schleswig-holstein;germany
18199;56.0;highlands ranch;colorado;usa
19117;14.0;ormeau;queensland;australia
19164;40.0;meadow lake;saskatchewan;canada
19817;24.0;cologne/köln;nordrhein-westfalen;germany
20401;25.0;graz;steiermark;austria
20858;24.0;siegburg;nordrhein-westfalen;germany
20983;45.0;villas;new jersey;usa
21518;59.0;cleveland;tennessee;usa
22082;26.0;rio de janeiro;rio de janeiro;brazil
22343;21.0;lisbon;lisbon;portugal
22981;23.0;rennes;bretagne;france
23021;17.0;san diego;california;usa
23296;71.0;rye;victoria;australia
23366;54.0;sidney;nebraska;usa
24261;55.0;manchester;connecticut;usa
24307;21.0;oakville;ontario;canada
24664;34.74389988072476;nelas;beira litoral;portugal
25335;28.0;barreiro;barreiro;portugal
25419;16.0;adelaide;south australia;australia
25636;48.0;lincolnshire;england;united kingdom
25768;34.0;toodyay;western australia;australia
26354;44.0;cotuit;massachusetts;usa
26806;15.0;kempsey;new south wales;australia
27115;24.0;wuppertal;nordrhein-westfalen;germany
27795;27.0;modesto;california;usa
28262;39.0;mckinleyville;california;usa
28589;31.0;murrieta;california;usa
28648;17.0;kalona;iowa;usa
28804;50.0;cardinal;ontario;canada
29446;18.0;reading;england;united kingdom
29573;34.74389988072476;newcastle;new south wales;australia
29694;40.0;melbourne;victoria;australia
30527;41.0;charlotte;north carolina;usa
31608;27.0;malabon,metro manila;;philippines
31619;34.74389988072476;kitchener;ontario;canada
31771;65.0;whitefish bay;wisconsin;usa
32817;34.74389988072476;townsville;queensland;australia
33336;34.74389988072476;purmerend;noord holland;netherlands
33535;36.0;port hedland;western australia;australia
33875;28.0;vancouver;british columbia;canada
33890;18.0;chandler;arizona;usa
34244;47.0;ilford;england;united kingdom
35321;34.0;covina;california;usa
35513;42.0;seeboden;austria;austria
35980;49.0;corroios;lisboa;portugal
36041;46.0;folsom;california;usa
36400;28.0;kot addu;punjab;pakistan
36417;53.0;grand falls/windsor;newfoundland;canada
36656;28.0;manila;\n/a`;"philippines"""
36701;65.0;belleville;ontario;canada
36871;35.0;redmond;washington;usa
37024;34.0;cambridge;england;united kingdom
37074;53.0;westbrook;maine;usa
37078;19.0;hamilton;;new zealand
37550;19.0;eugene;oregon;usa
37615;24.0;fountain inn;south carolina;usa
38219;49.0;avila;castilla y leon;spain
38850;50.0;peterborough;cambs;united kingdom
39292;34.74389988072476;valkeakoski;pirkanmaa;finland
39658;51.0;dubbo;new south wales;australia
40077;44.0;römerstein;baden-wuerttemberg;germany
40754;18.0;west allis;wisconsin;usa
40841;38.0;st. charles;missouri;usa
40919;60.0;colorado springs;colorado;usa
41135;37.0;bochum;nordrhein-westfalen;germany
41183;31.0;london;england;united kingdom
41281;34.0;southsea;england;united kingdom
41586;73.0;nicolaus;california;usa
41771;29.0;melbourne;victoria;australia
42032;43.0;northcote;victoria;australia
42434;48.0;santa ana;california;usa
42745;37.0;battle ground;indiana;usa
43138;42.0;lippstadt;nordrhein-westfalen;germany
44287;50.0;laughlin;nevada;usa
44395;18.0;manila;;philippines
44634;37.0;ryde;england;united kingdom
44768;33.0;boothwyn;pennsylvania;usa
45031;51.0;rhinelander;wisconsin;usa
45307;36.0;northwich;england;united kingdom
45666;31.0;georgetown;ontario;canada
47037;36.0;duisburg;nordrhein-westfalen;germany
47089;38.0;skye;victoria;australia
47448;26.0;sevilla;sevilla;spain
47613;18.0;birmingham;west midlands;united kingdom
47635;34.74389988072476;kuala lumpur;kuala lumpur;malaysia
47853;31.0;portland;oregon;usa
