rating,book_title,book_author,year_of_publication,publisher,Category
8,Acceptable Risk,Robin Cook,1996.0,Berkley Publishing Group,fiction
8,Prodigal Summer,Barbara Kingsolver,2000.0,HarperCollins,fiction
9,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994.0,Avon,fiction
0,The Summons,John Grisham,2002.0,Dell Publishing Company,fiction
0,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books,fiction
6,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003.0,Vintage,fiction
8,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002.0,Regan Books,political science
0,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997.0,Del Rey,juvenile fiction
0,East of Eden (Oprah's Book Club),John Steinbeck,2003.0,Penguin Books,fiction
5,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004.0,St. Martin's Paperbacks,fiction
8,Jack & Jill (Alex Cross Novels),James Patterson,1997.0,Warner Books,fiction
0,The Rescue,Nicholas Sparks,2000.0,Warner Books,fiction
9,The English Patient,Michael Ondaatje,1996.0,Vintage Books USA,fiction
10,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989.0,Bantam,fiction
7,The Five People You Meet in Heaven,Mitch Albom,2003.0,Hyperion,fiction
5,Sleep No More,Greg Iles,2003.0,Signet Book,fiction
6,The Secret Life of Bees,Sue Monk Kidd,2003.0,Penguin Books,fiction
0,Red Storm Rising,Tom Clancy,1997.0,Berkley Publishing Group,fiction
0,The King of Torts,John Grisham,2003.0,Doubleday Books,fiction
0,Nerd in Shining Armor,Vicki Lewis Thompson,2003.0,Dell Publishing Company,fiction
6,How to Be Good,Nick Hornby,2002.0,Riverhead Books,fiction
9,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001.0,Berkley Publishing Group,fiction
7,The Lost World,Michael Crichton,1996.0,Ballantine Books,fiction
9,Fat Tuesday,Sandra Brown,1998.0,Warner Vision,fiction
9,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002.0,Berkley Publishing Group,fiction
0,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998.0,Perennial,fiction
0,A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,fiction
0,The Perfect Husband,LISA GARDNER,1997.0,Bantam,fiction
4,"Loves Music, Loves to Dance",Mary Higgins Clark,1992.0,Pocket,fiction
0,Intensity,DEAN KOONTZ,1996.0,Ballantine Books,fiction
0,The Hot Zone,Richard Preston,1995.0,Anchor,medical
0,"Breath, Eyes, Memory",Edwidge Danticat,1998.0,Vintage Books USA,fiction
9,The Nanny Diaries: A Novel,Emma McLaughlin,2002.0,St. Martin's Press,fiction
7,Here on Earth,Alice Hoffman,1998.0,Berkley Publishing Group,fiction
7,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001.0,Ballantine Books,fiction
0,1st to Die: A Novel,James Patterson,2002.0,Warner Vision,fiction
10,The Last Juror,John Grisham,2004.0,Doubleday,fiction
8,Sacred Sins,Nora Roberts,1990.0,Bantam Books,fiction
10,Dreamcatcher,Stephen King,2003.0,Pocket,fiction
5,The Surgeon,TESS GERRITSEN,2002.0,Ballantine Books,fiction
0,Hannibal,Thomas Harris,2000.0,Dell Publishing Company,fiction
0,Gap Creek: The Story Of A Marriage,Robert Morgan,2000.0,Touchstone,fiction
8,Intensity,DEAN KOONTZ,1996.0,Ballantine Books,fiction
0,Sphere,MICHAEL CRICHTON,1988.0,Ballantine Books,fiction
5,One Door Away from Heaven,Dean R. Koontz,2002.0,Bantam Books,fiction
9,Middlesex: A Novel,Jeffrey Eugenides,2003.0,Picador,fiction
